path,class,width,height,format,mode
data\Abnormal_Sperm\Abnormal_Sperm (1).bmp,Abnormal_Sperm,185,179,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (10).bmp,Abnormal_Sperm,193,164,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (100).bmp,Abnormal_Sperm,205,170,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (1000).bmp,Abnormal_Sperm,176,165,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (1001).bmp,Abnormal_Sperm,148,201,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (1002).bmp,Abnormal_Sperm,156,181,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (1003).bmp,Abnormal_Sperm,161,188,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (1004).bmp,Abnormal_Sperm,183,148,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (1005).bmp,Abnormal_Sperm,172,208,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (101).bmp,Abnormal_Sperm,210,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (102).bmp,Abnormal_Sperm,216,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (103).bmp,Abnormal_Sperm,163,207,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (104).bmp,Abnormal_Sperm,207,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (105).bmp,Abnormal_Sperm,162,191,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (106).bmp,Abnormal_Sperm,155,198,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (107).bmp,Abnormal_Sperm,171,196,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (108).bmp,Abnormal_Sperm,176,179,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (109).bmp,Abnormal_Sperm,170,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (11).bmp,Abnormal_Sperm,193,169,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (110).bmp,Abnormal_Sperm,207,169,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (111).bmp,Abnormal_Sperm,204,173,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (112).bmp,Abnormal_Sperm,203,160,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (113).bmp,Abnormal_Sperm,156,195,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (114).bmp,Abnormal_Sperm,193,202,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (115).bmp,Abnormal_Sperm,203,169,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (116).bmp,Abnormal_Sperm,193,164,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (117).bmp,Abnormal_Sperm,178,181,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (118).bmp,Abnormal_Sperm,185,169,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (119).bmp,Abnormal_Sperm,188,149,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (12).bmp,Abnormal_Sperm,210,190,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (120).bmp,Abnormal_Sperm,149,210,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (121).bmp,Abnormal_Sperm,188,183,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (122).bmp,Abnormal_Sperm,148,198,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (123).bmp,Abnormal_Sperm,170,209,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (124).bmp,Abnormal_Sperm,233,165,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (125).bmp,Abnormal_Sperm,198,202,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (126).bmp,Abnormal_Sperm,195,191,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (127).bmp,Abnormal_Sperm,156,205,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (128).bmp,Abnormal_Sperm,169,180,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (129).bmp,Abnormal_Sperm,159,221,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (13).bmp,Abnormal_Sperm,153,156,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (130).bmp,Abnormal_Sperm,151,215,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (131).bmp,Abnormal_Sperm,209,181,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (132).bmp,Abnormal_Sperm,167,203,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (133).bmp,Abnormal_Sperm,153,203,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (134).bmp,Abnormal_Sperm,195,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (135).bmp,Abnormal_Sperm,209,165,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (136).bmp,Abnormal_Sperm,204,150,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (137).bmp,Abnormal_Sperm,153,193,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (138).bmp,Abnormal_Sperm,174,177,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (139).bmp,Abnormal_Sperm,180,188,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (14).bmp,Abnormal_Sperm,195,160,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (140).bmp,Abnormal_Sperm,173,207,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (141).bmp,Abnormal_Sperm,157,187,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (142).bmp,Abnormal_Sperm,142,134,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (143).bmp,Abnormal_Sperm,143,187,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (144).bmp,Abnormal_Sperm,197,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (145).bmp,Abnormal_Sperm,178,214,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (146).bmp,Abnormal_Sperm,195,176,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (147).bmp,Abnormal_Sperm,142,168,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (148).bmp,Abnormal_Sperm,206,153,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (149).bmp,Abnormal_Sperm,180,174,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (15).bmp,Abnormal_Sperm,176,151,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (150).bmp,Abnormal_Sperm,190,191,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (151).bmp,Abnormal_Sperm,197,149,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (152).bmp,Abnormal_Sperm,153,235,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (153).bmp,Abnormal_Sperm,196,171,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (154).bmp,Abnormal_Sperm,176,148,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (155).bmp,Abnormal_Sperm,154,199,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (156).bmp,Abnormal_Sperm,155,207,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (157).bmp,Abnormal_Sperm,198,154,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (158).bmp,Abnormal_Sperm,183,200,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (159).bmp,Abnormal_Sperm,170,202,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (16).bmp,Abnormal_Sperm,231,215,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (160).bmp,Abnormal_Sperm,195,173,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (161).bmp,Abnormal_Sperm,162,175,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (162).bmp,Abnormal_Sperm,161,181,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (163).bmp,Abnormal_Sperm,182,193,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (164).bmp,Abnormal_Sperm,152,206,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (165).bmp,Abnormal_Sperm,164,201,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (166).bmp,Abnormal_Sperm,184,194,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (167).bmp,Abnormal_Sperm,188,196,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (168).bmp,Abnormal_Sperm,176,124,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (169).bmp,Abnormal_Sperm,146,193,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (17).bmp,Abnormal_Sperm,198,206,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (170).bmp,Abnormal_Sperm,146,202,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (171).bmp,Abnormal_Sperm,162,140,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (172).bmp,Abnormal_Sperm,150,203,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (173).bmp,Abnormal_Sperm,162,202,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (174).bmp,Abnormal_Sperm,184,177,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (175).bmp,Abnormal_Sperm,185,155,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (176).bmp,Abnormal_Sperm,186,147,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (177).bmp,Abnormal_Sperm,186,196,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (178).bmp,Abnormal_Sperm,152,186,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (179).bmp,Abnormal_Sperm,166,195,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (18).bmp,Abnormal_Sperm,159,211,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (180).bmp,Abnormal_Sperm,206,164,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (181).bmp,Abnormal_Sperm,175,204,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (182).bmp,Abnormal_Sperm,197,192,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (183).bmp,Abnormal_Sperm,152,179,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (184).bmp,Abnormal_Sperm,194,165,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (185).bmp,Abnormal_Sperm,188,179,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (186).bmp,Abnormal_Sperm,190,167,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (187).bmp,Abnormal_Sperm,190,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (188).bmp,Abnormal_Sperm,172,176,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (189).bmp,Abnormal_Sperm,208,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (19).bmp,Abnormal_Sperm,208,163,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (190).bmp,Abnormal_Sperm,191,162,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (191).bmp,Abnormal_Sperm,182,175,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (192).bmp,Abnormal_Sperm,191,167,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (193).bmp,Abnormal_Sperm,193,155,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (194).bmp,Abnormal_Sperm,212,153,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (195).bmp,Abnormal_Sperm,197,152,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (196).bmp,Abnormal_Sperm,207,137,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (197).bmp,Abnormal_Sperm,202,164,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (198).bmp,Abnormal_Sperm,195,156,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (199).bmp,Abnormal_Sperm,172,207,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (2).bmp,Abnormal_Sperm,146,182,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (20).bmp,Abnormal_Sperm,196,177,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (200).bmp,Abnormal_Sperm,185,179,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (201).bmp,Abnormal_Sperm,146,182,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (202).bmp,Abnormal_Sperm,191,179,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (203).bmp,Abnormal_Sperm,190,151,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (204).bmp,Abnormal_Sperm,193,191,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (205).bmp,Abnormal_Sperm,205,172,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (206).bmp,Abnormal_Sperm,199,157,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (207).bmp,Abnormal_Sperm,176,224,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (208).bmp,Abnormal_Sperm,163,150,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (209).bmp,Abnormal_Sperm,187,159,BMP,RGB
data\Abnormal_Sperm\Abnormal_Sperm (21).bmp,Abnormal_Sperm,157,192,PNG,RGB
data\Abnormal_Sperm\Abnormal_Sperm (210).bmp,Abnormal_Sperm,198,206,BMP,RGB
